_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
1613166,69,BP-11699,70,The Pond Rd,,,Seneca Lane,,,7,,Rack,Existing,0,304813.343,4847867.805,-79.49983426,43.77077015,"{u'type': u'Point', u'coordinates': (-79.4998342614, 43.770770152)}"
1613167,107,BP-12883,21,Canniff St,,,Strachan Ave,,,10,,Ring,Existing,0,311940.672,4833504.872,-79.41149341,43.64145121,"{u'type': u'Point', u'coordinates': (-79.4114934143, 43.6414512067)}"
1613168,182,BP-13385,145,Queens Quay W,,,York St,,,10,The Waterfront,,Existing,0,314511.625,4833301.306,-79.37963091,43.63958972,"{u'type': u'Point', u'coordinates': (-79.3796309061, 43.6395897236)}"
1613169,240,BP-03939,50,Blue Jays Way,,,Mercer St,,,10,Toronto Entertainment District,Ring,Temporarily Removed,0,313503.184,4833936.254,-79.39211961,43.64531759,"{u'type': u'Point', u'coordinates': (-79.3921196079, 43.6453175951)}"
1613170,315,BP-08045,145,Queens Quay W,,,York St,,,10,The Waterfront,,Existing,0,314505.596,4833307.513,-79.37970552,43.63964568,"{u'type': u'Point', u'coordinates': (-79.3797055199, 43.6396456737)}"
1613171,316,BP-07766,162,Mc Caul St,,,Mc Caul St,,,11,,Ring,Existing,0,313505.863,4835081.661,-79.39206794,43.65562777,"{u'type': u'Point', u'coordinates': (-79.3920679391, 43.6556277675)}"
1613172,332,BP-15331,911,Davenport Rd,,,Davenport Rd,,,12,,,Existing,0,310973.155,4837275.766,-79.42344238,43.67540296,"{u'type': u'Point', u'coordinates': (-79.423442385, 43.6754029632)}"
1613173,335,BP-08916,20,Lombard St,,,Lombard St,,,13,St. Lawrence Market Neighbourhood,,Existing,0,314695.814,4834615.514,-79.37732394,43.65141694,"{u'type': u'Point', u'coordinates': (-79.3773239407, 43.6514169411)}"
1613174,372,BP-11634,8,Assiniboine Rd,,,Scholars Walk,,,7,,Rack,Existing,0,304515.293,4847629.273,-79.50353633,43.76862303,"{u'type': u'Point', u'coordinates': (-79.5035363297, 43.7686230296)}"
1613175,379,BP-08338,50,Western Battery Rd,,,Pirandello St,East,,10,,,Existing,0,311736.367,4833336.57,-79.41402787,43.63993819,"{u'type': u'Point', u'coordinates': (-79.4140278737, 43.6399381912)}"
1613176,397,BP-14805,359,King St E,,,Derby St,,,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315707.043,4834678.549,-79.36478674,43.65197019,"{u'type': u'Point', u'coordinates': (-79.3647867345, 43.6519702)}"
1613177,452,BP-03606,794,Mount Pleasant Rd,,,Brownlow Ave,,,12,Mount Pleasant Village,Ring,Temporarily Removed,0,313582.386,4840915.299,-79.39102424,43.70813716,"{u'type': u'Point', u'coordinates': (-79.3910242322, 43.7081371656)}"
1613178,552,BP-14382,520,Parliament St,,,Winchester St,,,13,Cabbagetown,,Existing,0,315383.202,4836237.247,-79.36877079,43.66600522,"{u'type': u'Point', u'coordinates': (-79.3687707874, 43.6660052238)}"
1613179,562,BP-09551,203,Kingston Rd,,,Rainsford Rd,,,19,,,Existing,0,320208.209,4837016.885,-79.30891986,43.67293862,"{u'type': u'Point', u'coordinates': (-79.3089198515, 43.6729386255)}"
1613180,626,BP-05510,2078,Queen St E,,,Leuty Ave,,,19,The Beach,,Existing,0,321204.274,4836787.137,-79.29657452,43.67084929,"{u'type': u'Point', u'coordinates': (-79.2965745185, 43.6708492864)}"
1613181,673,BP-10566,61,Hanna Ave,,,Hanna Ave,,,10,Liberty Village,,Existing,0,311434.389,4833307.848,-79.41777106,43.63968241,"{u'type': u'Point', u'coordinates': (-79.4177710593, 43.6396824074)}"
