X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,WardNum_X,WardNum_Y,Division,Division_X,Division_Y,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourh,ObjectId
-79.19569,43.757145,6915779,1266407,2011,2011-11-27T05:00:00.000Z,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,None,0, ,Other,Other, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),1
-79.19569,43.757145,6915780,1266407,2011,2011-11-27T05:00:00.000Z,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,None,0,West,"Automobile, Station Wagon",Going Ahead, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),2
-79.19569,43.757145,6915781,1266407,2011,2011-11-27T05:00:00.000Z,0,0,DUNERA Aven,EMCARR Driv, ,Local,Scarborough,24,0,0,43,0,0,43.757145,-79.19569,Intersection,At Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,South,Bicycle,Turning Left, , , , , , , , , ,Yes,Yes, , , , , , , , , , ,136,West Hill (136),3
-79.45267,43.657214,80240055,5000901118,2015,2015-05-30T04:00:00.000Z,2,0,DUNDAS ST W,EDNA AVE,2 m North of,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.657214,-79.45267,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,0,West,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Normal, ,Yes,Yes, , , , , , , , , , ,88,High Park North (88),4
-79.45267,43.657214,80240056,5000901118,2015,2015-05-30T04:00:00.000Z,2,0,DUNDAS ST W,EDNA AVE,2 m North of,Minor Arterial,Toronto and East York,4,0,0,11,0,0,43.657214,-79.45267,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,None,0,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,88,High Park North (88),5
-79.429813,43.649573,80158381,4001953344,2014,2014-04-25T04:00:00.000Z,5,0,DUNDAS ST W,GLADSTONE AVE, ,Minor Arterial,Toronto and East York,9,0,0,14,0,0,43.649573,-79.429813,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,40 to 44,Minimal,0,East,"Automobile, Station Wagon",Making U Turn,Improper Turn,Inattentive, , , , , , , ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),6
-79.429813,43.649573,80158382,4001953344,2014,2014-04-25T04:00:00.000Z,5,0,DUNDAS ST W,GLADSTONE AVE, ,Minor Arterial,Toronto and East York,9,0,0,14,0,0,43.649573,-79.429813,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,West,Bicycle,Going Ahead, , , , , ,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,84,Little Portugal (84),7
-79.35469,43.792645,5865362,1124459,2009,2009-08-10T04:00:00.000Z,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),8
-79.35469,43.792645,5865363,1124459,2009,2009-08-10T04:00:00.000Z,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),9
-79.35469,43.792645,5865364,1124459,2009,2009-08-10T04:00:00.000Z,10,0,FINCH Aven E,DON MILLS Road, ,Major Arterial,North York,17,0,0,33,0,0,43.792645,-79.35469,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,0,North,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking, ,Yes,Yes, , , , , , , , , , ,47,Don Valley Village (47),10
-79.507922,43.759272,80497074,5000976277,2015,2015-06-11T04:00:00.000Z,24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,Etobicoke York,7,0,0,31,0,0,43.759272,-79.507922,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Cyclist Collisions,Driver,20 to 24,None,0,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol", , , , , , , ,Yes,Yes, , , , , ,Yes,Yes, ,Yes, ,25,Glenfield-Jane Heights (25),11
-79.507922,43.759272,80497075,5000976277,2015,2015-06-11T04:00:00.000Z,24,0,FINCH AVE W,TOBERMORY DR, ,Major Arterial,Etobicoke York,7,0,0,31,0,0,43.759272,-79.507922,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Cyclist Collisions,Cyclist,40 to 44,Fatal,28,West,Bicycle,Going Ahead, , , , , ,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Unknown, ,Yes,Yes, , , , , ,Yes,Yes, ,Yes, ,25,Glenfield-Jane Heights (25),12
