Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
01-Oct-19,108,12:13:00 AM,Tuesday,Pioneer Village Station,Investigation,15,30,S/B,3205
01-Oct-19,35,12:20:00 AM,Tuesday,Jane Station,Utilized Off Route,10,20,S/B,3533
01-Oct-19,63,12:45:00 AM,Tuesday,Ossington Station,Utilized Off Route,10,20,S/B,8108
01-Oct-19,32,1:04:00 AM,Tuesday,Renforth Station,Utilized Off Route,15,30,E/B,1269
01-Oct-19,322,2:00:00 AM,Tuesday,Kingston & Queen,Diversion,218,248,B/W,
01-Oct-19,324,2:00:00 AM,Tuesday,Eglinton & Victoria Park,Diversion,234,264,B/W,
01-Oct-19,322,2:00:00 AM,Tuesday,Queen & Kingston,Diversion,218,248,B/W,
01-Oct-19,320,2:06:00 AM,Tuesday,Steeles and Yonge,Mechanical,3,6,S/B,8369
01-Oct-19,300,5:14:00 AM,Tuesday,Spadina and Bloor,Emergency Services,10,35,E/B,8705
01-Oct-19,36,6:10:00 AM,Tuesday,dufferin,Mechanical,5,10,E/B,3479
01-Oct-19,76,6:17:00 AM,Tuesday,ROYAL YORK STN,Mechanical,5,10,S/B,8025
01-Oct-19,45,6:23:00 AM,Tuesday,SLPK,Mechanical,5,10,S/B,8425
01-Oct-19,945,6:24:00 AM,Tuesday,Eglinton and Kipling,Mechanical,5,10,S/B,7979
01-Oct-19,953,6:26:00 AM,Tuesday,Finch station,Mechanical,15,30,E/B,9076
01-Oct-19,76,6:42:00 AM,Tuesday,ROYAL YORK STN,Mechanical,5,10,S/B,8091
01-Oct-19,34,6:53:00 AM,Tuesday,Eglinton Station,Mechanical,4,8,E/B,8864
01-Oct-19,66,7:00:00 AM,Tuesday,ENTIRE ROUTE,General Delay,9,35,B/W,
01-Oct-19,100,7:01:00 AM,Tuesday,Don Mills and Wynford,Mechanical,3,10,W/B,8757
01-Oct-19,52,7:23:00 AM,Tuesday,Lawrence Station,Mechanical,23,45,W/B,1215
01-Oct-19,95,7:30:00 AM,Tuesday,Kennedy to Leslie & York Mills,General Delay,30,38,W/B,
01-Oct-19,39,7:30:00 AM,Tuesday,39 Finch Route all Branch,General Delay,18,36,B/W,3424
01-Oct-19,995,7:30:00 AM,Tuesday,Kennedy to Leslie and York mills,General Delay,30,40,W/B,
01-Oct-19,937,7:30:00 AM,Tuesday,entire route,General Delay,12,35,B/W,
01-Oct-19,37,7:30:00 AM,Tuesday,ENTIRE ROUTE,General Delay,14,40,B/W,
01-Oct-19,939,7:30:00 AM,Tuesday,939 Finch Express-All branch,General Delay,20,29,B/W,1322
01-Oct-19,939,7:42:00 AM,Tuesday,Nightstar and Morningside,Mechanical,7,14,W/B,1509
01-Oct-19,42,7:49:00 AM,Tuesday,McNicoll / Boxdene,Diversion,76,90,W/B,8148
01-Oct-19,985,8:00:00 AM,Tuesday,Sheppard and Parkway Forest,General Delay,20,35,B/W,
01-Oct-19,85,8:00:00 AM,Tuesday,Sheppard and Parkway Forest,General Delay,15,27,B/W,
01-Oct-19,39,8:04:00 AM,Tuesday,Morningside and Old Finch,Mechanical,15,30,W/B,1656
01-Oct-19,5,8:07:00 AM,Tuesday,Avenue Rd and Chaplin,Mechanical,13,26,N/B,8377
01-Oct-19,41,8:07:00 AM,Tuesday,Dundas / Keele,Investigation,15,30,S/B,9032
01-Oct-19,133,8:10:00 AM,Tuesday,Markham / Ellesmere Rd.,General Delay,25,36,B/W,
01-Oct-19,38,8:10:00 AM,Tuesday,Markham and Ellesmere,General Delay,25,45,B/W,
01-Oct-19,169,8:10:00 AM,Tuesday,Sheppard Ave. E/Fairview Mall,General Delay,35,95,W/B,
01-Oct-19,92,8:30:00 AM,Tuesday,Woodbine stn to queen,General Delay,10,20,,
01-Oct-19,953,8:30:00 AM,Tuesday,Morningside Finch,Mechanical,15,30,W/B,9070
01-Oct-19,17,8:30:00 AM,Tuesday,Birchmount Rd (Lawrence to Finch),General Delay,20,27,B/W,
01-Oct-19,89,8:30:00 AM,Tuesday,Keele Station,General Delay,10,17,S/B,
01-Oct-19,989,8:30:00 AM,Tuesday,Keele Station,General Delay,10,25,S/B,
01-Oct-19,52,8:33:00 AM,Tuesday,Lawrence/Keele,Mechanical,15,30,E/B,1342
